date,id,coordinates,full_text,sentiment,hashtags,,,,,
2020-01-23,1220330064933351424,,"#China is always a #trouble maker with #evil thoughts. In 2002, China made #SARSvirus . Now, #China made #WuhanCoronavirus . #coronavirus #WuhanPneumonia #WuhanSARS #ChinaPneumonia #chinazi #China_is_terrorist #ChinaCoronaVirus #coronovirus #Wuhan #WHO",-2,"['China', 'trouble', 'evil', 'SARSvirus', 'China', 'WuhanCoronavirus', 'coronavirus', 'WuhanPneumonia', 'WuhanSARS', 'ChinaPneumonia', 'chinazi', 'China_is_terrorist', 'ChinaCoronaVirus', 'coronovirus', 'Wuhan', 'WHO']",,,,,
2020-01-23,1220335980227395590,,"Don’t trust #CCP. They are hiding the actual numbers of patients who is suffering from the wuhan coronavirus. Without proper methods of chasing the origin of virus &amp; its formation, it’s hard to prevent the mass inflection. #武漢肺炎 #新型肺炎",-2,"['CCP', '武漢肺炎', '新型肺炎']",,,,,
2020-01-23,1220366657757024257,,"They do NOT shot down a whole city, Wuhan 11 million people! Because of 17 death!? Something isn`t right here!!!",-2,[],,,,,
2020-01-23,1220403610116227072,,It is truly awful to know that the Chinese govt tried to suppress what was happening with this outbreak. So many people are sick.,-2,[],,,,,
2020-01-23,1220408366469545984,,‘Cover Up’? Reports Indicate Chinese Government Not Telling Truth About Coronavirus Outbreak,-2,[],,,,,
2020-01-24,1220519227884335105,,"Don't fall for the MSM bullshit. They are trying to cover their tracks. Everybody is retweeting this bat soup...Chinese don't eat bats. That virus escaped a lab in China, more precisely the Wuhan Institute of virology.",-2,[],,,,,
2020-01-24,1220675046219251712,,"Meanwhile in Hong Kong, in order 5o impress #Chinazi , the government keep saying it's Ok and refuse to carry out quarantine to prevent #WuhanCoronavirus spreading.",-2,"['Chinazi', 'WuhanCoronavirus']",,,,,
2020-01-24,1220691210043641856,,Chinese ‘nurse’ claims dead bodies are left unattended at a Wuhan hospital,-2,[],,,,,
2020-01-24,1220704128717987840,,"Market Where Wuhan Virus Originated Sold Rats, Wolf Puppies, &amp; Even Musang As Meat",-2,[],,,,,
2020-01-24,1220727683392397312,,"This is human disaster definitely. It began n covered up when a govt concerned their face more then human life. #Wuhan , over 1billion people being blocked without knowing if any material or resources. They are waiting with no hope. It's is a evil regime. #ccp_is_terrorist",-2,"['Wuhan', 'ccp_is_terrorist']",,,,,
2020-01-24,1220736246147960833,,Inside the Chinese lab poised to study world's most dangerous pathogens : Based in Wuhan 🤔😳 #caronavirus,-2,['caronavirus'],,,,,
2020-01-24,1220746302775910405,,THIS IS WAY WORSE THAN THEY ARE REPORTING! China coronavirus outbreak sends country scrambling to build hospital #FoxNews,-2,['FoxNews'],,,,,
2020-01-24,1220748836596879360,,"Emperor xi is showing off his primary school league from how china criminal party deals w/ HK Movement &amp; Wuhan virus! CCP comes up a brilliant tactic: seige 20 cities near Wuhan stop people from coming out but they could still fly to HK &amp; abroad bring the virus along, how selfish",-2,[],,,,,
2020-01-24,1220750390175514624,,#WuhanCoronovirus outbreak has mutated for the second time and infection is explosive. Healthcare staff in China advise #HongKong healthcare staff not to trust #CarrieLam #HKGovt and #CCPChina. They also advise investigation into #WHO corruption for not issue warning.,-2,"['WuhanCoronovirus', 'HongKong', 'CarrieLam', 'HKGovt', 'CCPChina', 'WHO']",,,,,
2020-01-24,1220752653531086849,,China's CDC says coronavirus linked to illegal wildlife trade,-2,[],,,,,
2020-01-24,1220819707881762822,,"China took their sweet time to begin doing anything about the outbreak, and they certainly haven’t been transparent. Trump Hotel Beijing on the wishlist.",-2,[],,,,,
2020-01-24,1220826428930973701,,"Chinese people out here eating bat soup, scientists say it could be linked to coronavirus outbreak",-2,[],,,,,
2020-01-24,1220855666665050115,,"Lefties in the west more concerned about people cracking jokes about Chinas dumb socialist medical system or depraved commie government than it is the rapidly spiraling infection total or the apparent death toll, which is presumably way beyond the official tally. #Coronavirus",-2,['Coronavirus'],,,,,
2020-01-25,1220867309339922432,,When is the US government or US journalists going to get some real hard facts? Search Twitter videos people-there are very disturbing videos leaking which indicate these numbers are WAY too low. #coronavirus #coronoavirus #wuhanvirus What will the Monday morning market bring?💰🦠,-2,"['coronavirus', 'coronoavirus', 'wuhanvirus']",,,,,
2020-01-25,1220988260530475008,,Please tell me Twitter is deleting tweets on behalf of Communist China Party. The same party with the lab the outbreak came from?,-2,[],,,,,
2020-01-25,1221116517913415680,,"China: The current situation of Wuhan Maobanqiao under the closed city. Uniform masks and policemen holding batons to intercept the people: Do not move! People raise their hands and squat, the children cry. 25-01-2020",-2,[],,,,,
2020-01-25,1221161898936164353,,"Fuck these nonsense shit! Together fighting!? Disease? It should hv been possible to take precautionary measures, but in keeping w/ #CCP's words and #AntiMaskLaw (that was ruled invalid earlier), it still not call for the basic protective equipment (masks). #WuhanCoronavirus",-2,"['CCP', 'AntiMaskLaw', 'WuhanCoronavirus']",,,,,
2020-01-25,1221162347580067840,,I count 19 hospitals in Wuhan on Google maps.A city of 11 Million. Report suggest all are full and more being built.That doesn't line up very well with official reports of ~1000 cases worldwide. #Wuhan #coronavirus,-2,"['Wuhan', 'coronavirus']",,,,,
2020-01-26,1221245000123604992,,"The deadly Coronavirus that has originated in China (possibly a lab made disease) is no joke....stay alert &amp; stay informed. Remember, “the mystery of iniquity” is working to bring in a one world government birthed out of global chaos! #EvenSoComeLordJesus",-2,['EvenSoComeLordJesus'],,,,,
2020-01-26,1221247215844450304,,I ran for more than 30 kilometers in Toronto and asked four stores before I bought 100 N95 masks. I watched a Chinese purchasing woman leave with a large pack of masks in front. I really wanted to catch up and spit her The doctors and nurses in my hometown are all struggling on,-2,[],,,,,
2020-01-26,1221292337348759552,,"Hello chinese people, im not racist at all but u need to go back to ur country bcs u bring the coronavirus to my country and others. u eat what u supposed not to eat. now u bring the disease to all countries in the world...",-2,[],,,,,
2020-01-26,1221334775434100738,,#coronavirus #MEMES When the chinese guy in the room sneezes and kill over 20 people,-2,"['coronavirus', 'MEMES']",,,,,
2020-01-26,1221426671271591936,,What if coronavirus is being framed for the increase of deaths by the chinese govt???,-2,[],,,,,
2020-01-26,1221491704659759104,,"Chinese Medics Reportedly Claim That Coronavirus Has Infected 100,000 And China Is Lying",-2,[],,,,,
2020-01-27,1221803415375728646,,"Hmm, I think China is not telling us the real story 🤔 China Is Building a 1,000-Bed Hospital in 6 Days to Deal With the Coronavirus Outbreak via",-2,[],,,,,
